CODE,CO_NM,PER,PBR,DVR
000660,SK하이닉스,6.02,0.98,1.62
035420,NAVER,25.86,1.06,0.32
005380,현대차,7.30,0.53,3.04
006400,삼성SDI,27.80,2.57,0.17
068270,셀트리온,41.28,5.83,0.45
028260,삼성물산,12.74,0.68,3.92
005490,POSCO,2.86,0.34,7.16
105560,KB금융,3.95,0.37,6.58
055550,신한지주,4.33,0.39,5.62
012330,현대모비스,7.80,0.48,2.05
096770,SK이노베이션,5.54,0.65,
034730,SK,4.48,0.49,4.01
015760,한국전력,,0.21,
066570,LG전자,7.66,0.70,1.09
323410,카카오뱅크,36.70,1.42,
010950,S-Oil,3.81,1.12,4.63
086790,하나금융지주,3.21,0.31,8.27
017670,SK텔레콤,8.37,0.93,5.48
051900,LG생활건강,16.72,1.79,2.13
009150,삼성전기,8.57,1.19,1.84
000810,삼성화재,8.24,0.72,6.38
010130,고려아연,13.38,1.37,3.31
316140,우리금융지주,2.82,0.31,7.93
003670,포스코케미칼,89.55,5.01,0.19
011070,LG이노텍,6.88,1.73,1.07
036570,엔씨소프트,13.91,2.13,1.82
090430,아모레퍼시픽,77.98,1.37,1.03
009830,한화솔루션,24.99,0.98,
024110,기업은행,3.28,0.28,7.82
086280,현대글로비스,5.89,0.96,2.34
009540,한국조선해양,,0.55,
011170,롯데케미칼,10.37,0.37,5.34
251270,넷마블,,0.64,1.22
032640,LG유플러스,7.00,0.56,5.37
035250,강원랜드,120.57,1.43,
018880,한온시스템,20.60,1.65,4.99
010140,삼성중공업,,1.02,
047810,한국항공우주,45.98,2.91,0.50
034220,LG디스플레이,22.96,0.37,4.82
011790,SKC,11.94,1.53,1.19
021240,코웨이,7.88,1.82,2.38
000720,현대건설,7.06,0.53,1.68
005830,DB손해보험,4.03,0.60,6.41
004020,현대제철,2.06,0.21,3.34
011780,금호석유,2.76,0.66,7.72
271560,오리온,13.18,1.56,0.77
000060,메리츠화재,4.09,2.88,2.26
004990,롯데지주,11.76,0.37,4.01
078930,GS,1.87,0.35,4.58
128940,한미약품,35.56,3.32,0.22
036460,한국가스공사,2.18,0.29,8.41
010620,현대미포조선,,1.88,
029780,삼성카드,5.97,0.42,7.63
003410,쌍용C&E,23.79,1.79,7.87
010060,OCI,2.94,0.65,2.17
282330,BGF리테일,17.14,3.43,1.80
028670,팬오션,2.98,0.55,2.27
307950,현대오토에버,40.72,2.26,0.61
002790,아모레G,53.25,0.64,1.89
005940,NH투자증권,4.56,0.43,11.86
016360,삼성증권,3.95,0.46,12.26
023530,롯데쇼핑,,0.25,3.20
008770,호텔신라,88.13,4.64,0.27
001450,현대해상,4.95,0.54,4.88
008930,한미사이언스,39.08,2.78,0.67
030000,제일기획,14.29,2.01,4.34
052690,한전기술,109.64,3.58,0.49
007070,GS리테일,3.08,0.61,5.04
272210,한화시스템,104.59,0.89,1.56
026960,동서,16.62,1.34,3.62
012750,에스원,16.93,1.29,4.57
112610,씨에스윈드,149.76,2.96,0.97
047040,대우건설,3.96,0.47,
047050,포스코인터내셔널,4.93,0.69,3.77
001440,대한전선,34.74,1.94,
064350,현대로템,30.68,1.92,
204320,만도,18.29,0.94,1.95
138930,BNK금융지주,2.42,0.21,9.11
039490,키움증권,3.18,0.47,4.77
004170,신세계,5.55,0.58,1.32
006260,LS,5.83,0.44,2.50
006280,녹십자,10.63,1.02,1.76
336260,두산퓨얼셀,207.20,3.88,
000880,한화,2.17,0.79,3.23
081660,휠라홀딩스,8.64,1.01,3.35
111770,영원무역,4.13,0.75,2.35
004800,효성,5.06,0.55,9.04
093370,후성,13.98,3.39,0.13
004370,농심,15.24,0.73,1.41
005300,롯데칠성,8.54,1.05,2.14
003090,대웅,9.39,0.96,0.55
336370,솔루스첨단소재,126.68,2.21,0.34
014820,동원시스템즈,26.82,1.82,1.39
007310,오뚜기,10.79,0.95,1.82
009240,한샘,29.73,1.16,4.01
000210,DL,7.61,0.31,3.36
005070,코스모신소재,67.87,7.05,
005850,에스엘,12.72,0.80,1.79
175330,JB금융지주,2.59,0.33,8.32
120110,코오롱인더,6.63,0.50,3.11
139130,DGB금융지주,2.32,0.22,9.00
001120,LX인터내셔널,3.11,0.72,5.47
042700,한미반도체,10.04,3.04,2.62
001230,동국제강,1.33,0.33,3.62
000240,한국앤컴퍼니,4.87,0.29,5.17
010780,아이에스동서,4.03,0.67,4.10
016710,대성홀딩스,64.59,3.05,0.27
020560,아시아나항공,,3.14,
019170,신풍제약,,2.88,
000150,두산,,0.60,2.63
018670,SK가스,4.35,0.44,4.61
017800,현대엘리베이,5.11,0.77,3.66
031430,신세계인터내셔날,8.93,1.16,1.21
042670,현대두산인프라코어,1.80,0.58,
181710,NHN,10.42,0.40,
001740,SK네트웍스,19.41,0.37,3.15
268280,미원에스씨,10.19,2.38,1.22
003690,코리안리,8.07,0.27,7.24
003240,태광산업,4.66,0.16,0.25
073240,금호타이어,,0.73,
000670,영풍,6.53,0.30,1.58
079160,CJ CGV,,13.00,
145720,덴티움,10.78,2.05,0.30
178920,PI첨단소재,16.54,2.93,3.43
300720,한일시멘트,10.02,0.50,5.27
005250,녹십자홀딩스,23.20,0.68,2.64
082640,동양생명,3.47,0.35,12.70
214320,이노션,13.72,0.94,4.56
002840,미원상사,12.92,2.57,3.56
032350,롯데관광개발,,2.02,
009420,한올바이오파마,708.33,4.29,
014830,유니드,5.26,0.69,1.95
013890,지누스,10.31,0.80,2.78
005880,대한해운,2.20,0.41,
249420,일동제약,,2.86,
069260,휴켐스,10.62,1.08,5.03
114090,GKL,,2.53,
011000,진원생명과학,,3.75,
089590,제주항공,,4.39,
010050,우리종금,7.48,0.97,2.87
023590,다우기술,2.69,0.35,3.54
003540,대신증권,4.14,0.34,10.04
005440,현대그린푸드,12.65,0.29,3.49
020000,한섬,4.91,0.43,2.42
039130,하나투어,,5.67,
004490,세방전지,8.85,0.40,1.68
004690,삼천리,14.55,0.65,1.11
241590,화승엔터프라이즈,,1.05,0.45
272450,진에어,,6.44,
001680,대상,5.62,0.58,3.91
192080,더블유게임즈,13.37,0.87,1.53
003530,한화투자증권,5.58,0.27,8.79
003850,보령제약,11.99,1.23,1.09
005690,파미셀,40.81,6.54,
007700,F&F홀딩스,4.67,0.27,1.27
105630,한세실업,7.93,1.11,3.53
006120,SK디스커버리,2.94,0.23,5.09
000640,동아쏘시오홀딩스,12.21,0.61,1.59
192650,드림텍,7.29,1.68,2.94
192820,코스맥스,9.09,0.79,1.29
009970,영원무역홀딩스,2.19,0.33,3.94
064960,SNT모티브,6.71,0.63,3.99
000070,삼양홀딩스,3.40,0.27,4.89
057050,현대홈쇼핑,5.59,0.26,5.42
003000,부광약품,,1.78,1.47
003030,세아제강지주,2.48,0.40,1.28
210980,SK디앤디,3.58,0.73,3.73
034310,NICE,10.85,0.61,3.05
097520,엠씨넥스,9.39,1.46,1.93
007340,디티알오토모티브,5.01,0.51,3.37
001430,세아베스틸,3.38,0.31,9.06
085620,미래에셋생명,4.90,0.27,3.82
003470,유안타증권,55.33,0.33,7.23
005090,SGC에너지,5.69,0.71,4.97
001060,JW중외제약,45.13,1.94,1.84
003280,흥아해운,,3.66,
170900,동아에스티,37.71,0.61,2.12
002240,고려제강,2.83,0.24,1.75
004430,송원산업,2.99,0.61,1.24
017810,풀무원,46.54,0.85,1.01
005180,빙그레,,0.58,3.80
007810,코리아써키트,4.42,0.83,
082740,HSD엔진,,3.02,
093050,LF,3.27,0.31,3.96
007690,국도화학,2.60,0.44,4.98
123890,한국자산신탁,3.39,0.42,7.33
001470,삼부토건,119.09,0.85,
011930,신성이엔지,,1.89,
034830,한국토지신탁,3.16,0.30,7.41
306200,세아제강,2.51,0.49,2.60
007660,이수페타시스,6.28,1.83,
007570,일양약품,14.90,1.31,1.24
005420,코스모화학,45.08,3.80,
005950,이수화학,9.45,2.02,2.28
003580,넥스트사이언스,,3.04,
037560,LG헬로비전,10.07,0.48,2.70
145990,삼양사,8.37,0.27,3.63
002320,한진,71.93,0.22,3.10
001530,DI동일,7.43,0.44,1.46
030610,교보증권,3.75,0.24,9.04
286940,롯데정보통신,18.05,0.83,3.15
161000,애경케미칼,4.97,0.62,5.82
322000,현대에너지솔루션,49.78,1.87,
003070,코오롱글로벌,2.26,0.49,3.85
004890,동일산업,9.94,0.92,2.29
071840,롯데하이마트,,0.16,8.23
012630,HDC,22.29,0.13,4.51
002900,TYM,3.31,0.87,1.03
115390,락앤락,22.15,0.43,
138490,코오롱플라스틱,13.69,1.51,1.58
053210,스카이라이프,6.44,0.45,4.57
006390,한일현대시멘트,7.75,0.98,6.96
084010,대한제강,2.08,0.34,3.36
068400,SK렌터카,12.19,0.57,
058650,세아홀딩스,4.28,0.18,2.90
108670,LX하우시스,,0.37,0.97
008490,서흥,8.95,0.84,1.60
018250,애경산업,19.27,0.80,1.86
281820,케이씨텍,5.38,0.73,1.53
002270,롯데푸드,,,
092220,KEC,24.09,1.18,
016800,퍼시스,28.82,0.54,3.99
226320,잇츠한불,,0.65,1.44
130660,한전산업,21.87,2.77,2.57
071320,지역난방공사,,0.20,2.83
033270,유나이티드제약,8.61,0.96,1.79
007460,에이프로젠 MED,,0.52,
016590,신대양제지,6.45,0.56,1.53
001510,SK증권,17.32,0.42,2.34
122900,아이마켓코리아,11.15,0.91,5.74
005500,삼진제약,15.10,1.22,3.47
015860,일진홀딩스,8.51,0.41,3.95
003220,대원제약,10.88,1.36,1.30
003300,한일홀딩스,4.74,0.22,5.09
000050,경방,14.63,0.34,1.20
077970,STX엔진,148.12,1.17,
009290,광동제약,11.00,0.44,1.83
024720,한국콜마홀딩스,11.31,0.41,1.86
293480,하나제약,8.95,0.92,3.78
002960,한국쉘석유,10.66,3.11,7.85
000480,조선내화,9.55,0.37,5.90
107590,미원홀딩스,8.72,1.32,0.40
002150,도화엔지니어링,16.31,0.98,3.60
001500,현대차증권,3.28,0.30,8.42
055490,테이팩스,13.49,2.15,1.09
011700,한신기계,167.65,1.92,0.79
026890,디피씨,,0.84,2.85
016580,환인제약,13.30,0.80,1.76
213500,한솔제지,7.96,0.51,3.91
001790,대한제당,20.51,0.45,4.58
271980,제일약품,,1.44,0.41
004250,NPC,9.15,0.83,1.52
002990,금호건설,2.80,0.47,10.97
002020,코오롱,3.22,0.43,1.97
001630,종근당홀딩스,107.10,0.45,2.85
104700,한국철강,2.98,0.29,4.47
084690,대상홀딩스,3.85,0.34,3.47
298690,에어부산,,,
001250,GS글로벌,4.73,0.58,
002710,TCC스틸,5.72,1.11,1.93
214330,금호에이치티,,0.50,
000490,대동,5.22,0.53,0.82
081000,일진다이아,31.95,0.49,2.81
001780,알루코,25.00,0.85,
037710,광주신세계,4.37,0.33,5.46
009680,모토닉,14.21,0.38,5.43
001520,동양,76.33,0.23,4.37
000020,동화약품,13.48,0.66,2.14
101060,SBS미디어홀딩스,,,
095720,웅진씽크빅,16.17,0.67,6.05
005810,풍산홀딩스,2.60,0.26,5.45
009410,태영건설,3.40,0.25,7.92
001200,유진투자증권,3.54,0.22,5.98
020120,키다리스튜디오,42.79,0.82,
006060,화승인더,70.62,0.54,4.75
103590,일진전기,8.20,0.45,2.47
004380,삼익THK,15.15,1.12,2.78
024090,디씨엠,2.77,0.47,6.87
036530,SNT홀딩스,4.59,0.20,5.20
029460,케이씨,2.64,0.26,2.11
005960,동부건설,1.74,0.31,11.67
105840,우진,18.92,1.09,1.27
092230,KPX홀딩스,6.14,0.24,5.80
084680,이월드,,0.83,
009580,무림P&P,10.79,0.40,3.16
002810,삼영무역,5.94,0.51,4.42
001570,금양,60.32,6.81,
077500,유니퀘스트,2.96,0.62,3.82
028100,동아지질,,0.74,2.74
006490,인스코비,351.25,2.41,
068290,삼성출판사,41.38,1.20,0.88
002390,한독,,0.54,2.48
035510,신세계 I&C,5.50,0.54,2.09
003570,SNT중공업,23.32,0.30,4.62
003060,에이프로젠제약,18.88,0.38,
128820,대성산업,,0.27,
001130,대한제분,12.72,0.23,1.98
025000,KPX케미칼,6.76,0.39,5.80
079980,휴비스,,0.37,6.05
012610,경인양행,7.32,0.76,1.12
000230,일동홀딩스,,3.97,0.43
008040,사조동아원,,0.63,
044450,KSS해운,3.25,0.52,3.81
033180,KH 필룩스,,0.32,
039570,HDC아이콘트롤스,18.29,0.71,5.76
001270,부국증권,4.65,0.28,7.37
001940,KISCO홀딩스,2.22,0.17,3.31
200880,서연이화,4.96,0.24,2.42
031440,신세계푸드,40.51,0.63,1.57
002100,경농,6.47,0.65,4.10
011280,태림포장,12.73,0.48,2.17
001360,삼성제약,,1.48,
035150,백산,7.47,1.17,1.23
015360,예스코홀딩스,41.96,0.27,7.19
000540,흥국화재,1.87,0.31,
000680,LS네트웍스,5.67,0.32,
014280,금강공업,5.10,0.42,2.03
006880,신송홀딩스,19.58,0.89,1.53
004360,세방,6.00,0.35,1.34
002140,고려산업,,1.22,0.78
234080,JW생명과학,13.38,1.32,4.46
101530,해태제과식품,,0.59,3.49
001340,백광산업,8.33,0.86,1.28
011500,한농화성,9.94,1.20,1.92
002210,동성제약,,3.66,
007540,샘표,14.12,0.56,0.40
005720,넥센,50.59,0.19,2.60
033920,무학,,0.27,4.88
004560,현대비앤지스틸,2.20,0.31,0.90
000970,한국주철관,2.99,0.41,6.08
036580,팜스코,,0.49,2.67
000390,삼화페인트,21.54,0.45,1.75
003160,디아이,12.32,0.71,4.99
013360,일성건설,22.23,0.94,1.43
013570,디와이,,0.36,2.33
074610,이엔플러스,,2.50,
000430,대원강업,,0.34,4.04
017550,수산중공업,8.03,1.03,0.41
005010,휴스틸,2.31,0.31,2.89
083420,그린케미칼,13.66,2.06,1.92
014160,대영포장,19.84,0.74,
094280,효성ITX,9.51,2.30,5.72
007860,서연,2.81,0.21,1.99
004970,신라교역,3.37,0.30,4.63
090350,노루페인트,8.76,0.43,3.70
092200,디아이씨,9.04,1.36,
282690,동아타이어,7.71,0.44,8.73
002700,신일전자,27.97,1.41,1.51
006740,영풍제지,30.04,0.88,0.59
006220,제주은행,18.77,0.54,1.17
120030,조선선재,9.33,0.76,1.51
012030,DB,7.03,0.38,
267850,아시아나IDT,23.93,0.77,4.70
015230,대창단조,4.67,0.61,2.48
015540,쎌마테라퓨틱스,,14.03,
002170,삼양통상,13.18,0.35,2.50
004080,신흥,12.56,1.32,1.52
014790,한라,1.39,0.31,3.45
033530,세종공업,,0.28,2.38
000700,유수홀딩스,4.88,0.46,6.43
004960,한신공영,2.23,0.15,3.99
004090,한국석유,12.47,0.81,1.05
004310,현대약품,146.03,1.32,0.71
078520,에이블씨엔씨,,0.98,
000320,노루홀딩스,40.87,0.29,4.37
000180,성창기업지주,,0.21,
003650,미창석유,4.85,0.36,3.40
210540,디와이파워,5.09,0.44,3.19
000860,강남제비스코,,0.22,2.45
017040,광명전기,13.35,0.75,0.53
100840,SNT에너지,25.32,0.47,4.55
010040,한국내화,31.20,0.38,1.35
017900,광전자,5.70,0.45,2.52
001750,한양증권,2.32,0.25,10.00
053690,한미글로벌,19.50,1.88,1.64
004140,동방,,0.72,
014530,극동유화,7.46,0.61,4.66
004540,깨끗한나라,18.72,0.46,
002450,삼익악기,,0.33,4.46
012800,대창,5.39,0.34,2.70
008260,NI스틸,2.95,0.63,2.11
267290,경동도시가스,3.90,0.30,4.39
005430,한국공항,25.27,0.37,
001260,남광토건,4.08,0.86,
019440,세아특수강,5.42,0.42,7.12
123690,한국화장품,,4.37,
093230,이아이디,,0.52,
006370,대구백화점,,0.35,1.01
006380,카프로,,1.23,
012690,모나리자,33.70,1.31,
012200,계양전기,,0.47,1.37
067830,세이브존I&C,22.48,0.20,1.25
014580,태경비케이,9.35,0.89,2.13
011150,CJ씨푸드,51.70,1.25,
009440,KC그린홀딩스,,0.41,2.54
016880,웅진,9.77,1.28,
009810,플레이그램,,1.29,
004060,SG세계물산,,0.46,
023800,인지컨트롤스,33.78,0.71,1.62
003560,IHQ,,0.63,
002360,SH에너지화학,48.33,1.05,1.15
020760,일진디스플,,1.81,
000300,대유플러스,,0.93,
006340,대원전선,12.80,0.84,
007110,일신석재,265.00,1.54,
004720,팜젠사이언스,1.00,0.42,
000500,가온전선,6.10,0.25,2.40
025750,한솔홈데코,54.67,0.49,2.03
005740,크라운해태홀딩스,14.99,0.29,1.72
001290,상상인증권,33.12,0.36,
003350,한국화장품제조,238.16,1.43,
013870,지엠비코리아,4.61,0.31,1.89
005800,신영와코루,11.56,0.31,1.34
023000,삼원강재,10.23,0.44,4.28
002600,조흥,11.71,0.73,3.66
002760,보락,40.00,1.74,0.37
002220,한일철강,5.98,0.43,1.61
005870,휴니드,51.93,0.60,
034300,신세계건설,4.58,0.32,4.76
024890,대원화성,,1.44,
027740,마니커,,1.54,
002720,국제약품,98.59,1.04,
025820,이구산업,3.84,0.61,2.08
010600,웰바이오텍,,1.97,
004830,덕성,13.01,0.79,1.06
004440,삼일씨엔에스,5.78,0.28,
011810,STX,18.99,1.48,
009460,한창제지,6.63,0.71,1.49
002880,대유에이텍,,0.89,
091090,세원이앤씨,,0.64,
004410,서울식품,,2.96,
007590,동방아그로,12.16,0.48,5.77
031820,콤텍시스템,142.50,0.54,
016090,대현,3.77,0.38,4.55
227840,현대코퍼레이션홀딩스,4.97,0.40,5.22
012170,아센디오,,1.58,
009180,한솔로지스틱스,2.88,0.66,2.58
008250,이건산업,15.26,0.36,2.92
016740,두올,8.30,0.36,3.61
002200,한국수출포장,5.93,0.34,2.90
000650,천일고속,,3.04,4.14
006660,삼성공조,69.13,0.34,0.84
001140,국보,,1.50,
047400,유니온머티리얼,24.80,1.24,1.38
007980,태평양물산,,0.34,
009320,대우부품,,2.16,
155660,DSR,3.95,0.37,1.13
134790,시디즈,12.18,1.01,1.04
004840,DRB동일,21.56,0.20,0.76
101140,인바이오젠,,0.76,
002630,오리엔트바이오,3.21,0.97,
003720,삼영화학,18.06,1.53,
163560,동일고무벨트,20.76,0.39,1.40
006090,사조오양,4.15,0.34,2.71
000910,유니온,4.48,0.50,2.61
013700,까뮤이앤씨,,0.74,1.23
013520,화승코퍼레이션,,0.39,2.05
011330,유니켐,,0.71,2.78
071090,하이스틸,7.81,0.50,1.09
058850,KTcs,5.80,0.47,4.70
133820,화인베스틸,4.52,0.74,
011390,부산산업,148.88,1.13,0.42
129260,인터지스,2.67,0.32,3.97
000950,전방,41.00,0.53,
023350,한국종합기술,6.38,0.48,1.51
058860,KTis,2.99,0.39,4.18
012320,경동인베스트,3.74,0.14,2.66
111110,호전실업,2.99,0.50,3.75
143210,핸즈코퍼레이션,,0.33,
011090,에넥스,23.32,0.89,
021820,세원정공,,0.18,0.31
004910,조광페인트,,0.40,1.46
118000,우리들휴브레인,,0.43,
004450,삼화왕관,,0.41,3.93
027970,세하,6.53,0.58,
012160,영흥,5.56,0.25,
025620,제이준코스메틱,,0.48,
010100,한국프랜지,3.25,0.24,4.12
006980,우성,,0.28,0.81
090080,평화산업,,2.42,
023960,에쓰씨엔지니어링,,1.37,
002920,유성기업,12.09,0.24,4.61
001020,페이퍼코리아,10.09,0.93,
008420,문배철강,3.53,0.48,2.01
026940,부국철강,6.63,0.48,2.50
005110,한창,,1.77,
069730,DSR제강,3.19,0.34,1.02
008870,금비,,0.44,2.89
049800,우진플라임,2.32,0.73,1.45
015260,에이엔피,,2.29,
009770,삼정펄프,7.06,0.28,4.12
021050,서원,4.71,0.38,1.34
002690,동일제강,4.16,0.25,0.97
092780,동양피스톤,26.00,0.44,1.54
001380,SG글로벌,,0.37,
005360,모나미,3.54,0.55,3.33
006200,한국전자홀딩스,2.04,0.36,
004870,티웨이홀딩스,1.01,0.29,
002820,SUN&L,,0.23,2.29
000040,KR모터스,,1.54,
006570,대림통상,12.35,0.62,
014990,인디에프,,0.90,
010660,화천기계,21.13,0.88,0.18
019180,티에이치엔,4.39,0.65,1.38
015020,이스타코,271.00,0.64,
001620,케이비아이동국실업,,0.29,
005820,원림,7.69,0.36,1.30
123700,SJM,11.04,0.28,4.62
004100,태양금속,,0.43,0.49
010640,진양폴리,9.46,1.76,3.25
002070,비비안,,0.37,
024070,WISCOM,"2,590.00",0.33,1.93
004920,씨아이테크,13.03,0.65,
093240,형지엘리트,5.04,0.60,
044380,주연테크,,0.67,
011420,갤럭시아에스엠,9.22,1.42,
025530,SJM홀딩스,14.46,0.30,5.00
012600,센트럴인사이트,,1.89,
010400,우진아이엔에스,,0.36,2.00
084670,동양고속,,0.44,
000760,이화산업,51.15,0.28,
030720,동원수산,3.83,0.62,
007120,미래아이앤지,,0.59,
018500,동원금속,2.33,0.58,
003680,한성기업,,0.57,
009140,경인전자,8.45,0.51,0.98
001420,태원물산,,0.94,1.41
001770,SHD,5.44,1.03,0.26
001210,금호전기,,0.81,
011230,삼화전자,,3.07,
025890,한국주강,27.47,0.93,
010420,한솔PNS,6.20,0.63,1.70
071950,코아스,,1.19,
008500,일정실업,,1.78,
030790,비케이탑스,,1.63,
007630,폴루스바이오팜,,,
036490,SK머티리얼즈,,,
263750,펄어비스,33.77,2.95,
247540,에코프로비엠,59.79,8.22,0.22
253450,스튜디오드래곤,32.12,2.63,
278280,천보,36.32,5.62,0.16
035760,CJ ENM,23.05,0.44,2.82
058470,리노공업,17.81,4.67,1.82
112040,위메이드,5.62,2.47,1.67
096530,씨젠,3.20,1.15,3.65
086520,에코프로,,2.30,0.34
035900,JYP Ent.,23.48,6.80,0.68
237690,에스티팜,173.98,4.52,0.65
005290,동진쎄미켐,10.15,2.19,0.41
108320,LX세미콘,3.67,1.44,6.78
041510,에스엠,9.29,2.25,0.32
240810,원익IPS,13.47,1.42,1.22
048260,오스템임플란트,39.55,6.25,0.26
064760,티씨케이,12.30,2.99,1.50
145020,휴젤,24.28,1.63,
025900,동화기업,32.97,1.69,
034230,파라다이스,,1.00,
141080,레고켐바이오,,3.42,
137400,피엔티,14.35,3.83,0.40
039030,이오테크닉스,9.69,1.49,1.45
098460,고영,21.47,3.12,0.89
003380,하림지주,1.90,0.24,1.57
215200,메가스터디교육,9.01,2.38,2.70
078340,컴투스,7.52,0.73,1.90
067160,아프리카TV,10.79,3.44,1.02
041140,넥슨지티,,,
144510,지씨셀,10.97,1.15,
030190,NICE평가정보,13.59,2.38,2.64
053800,안랩,57.38,2.17,1.86
086450,동국제약,12.65,1.46,1.16
048410,현대바이오,,11.78,
039200,오스코텍,,14.98,
036540,SFA반도체,11.24,1.59,
122870,와이지엔터테인먼트,93.08,2.04,0.59
085660,차바이오텍,"1,181.82",2.16,
200130,콜마비앤에이치,10.39,1.52,1.86
095700,제넥신,,1.42,
000250,삼천당제약,,3.61,
084850,아이티엠반도체,600.98,2.87,0.65
214450,파마리서치,13.25,1.74,1.08
272290,이녹스첨단소재,5.27,1.60,1.19
069080,웹젠,6.17,0.73,
046890,서울반도체,13.82,0.74,4.78
151860,KG ETS,0.87,0.44,1.46
182400,엔케이맥스,,4.26,
025980,아난티,,0.95,
218410,RFHIC,146.40,1.75,0.82
290510,코리아센터,119.87,1.00,
178320,서진시스템,34.18,0.95,1.07
033290,코웰패션,6.76,0.91,2.61
060250,NHN한국사이버결제,14.68,2.37,
091700,파트론,6.66,0.93,4.44
051500,CJ프레시웨이,7.09,1.32,1.01
235980,메드팩토,,7.86,
038540,상상인,3.49,0.46,1.55
089980,상아프론테크,35.65,1.93,0.88
092040,아미코젠,,2.08,
041960,코미팜,,6.17,
033640,네패스,,2.53,
243840,신흥에스이씨,17.52,1.25,0.80
101490,에스앤에스텍,40.74,2.63,0.44
029960,코엔텍,9.61,2.34,3.97
038500,삼표시멘트,19.88,0.53,2.34
143240,사람인에이치알,10.03,1.98,2.05
104830,원익머트리얼즈,5.89,0.75,1.58
268600,셀리버리,,8.80,
060150,인선이엔티,17.18,1.14,
032190,다우데이타,5.22,0.53,2.21
104480,티케이케미칼,0.57,0.28,
100130,동국S&C,15.50,1.00,2.02
061970,엘비세미콘,9.37,1.36,0.64
034950,한국기업평가,14.37,3.03,5.08
078130,국일제지,,3.82,
088800,에이스테크,,3.24,
078070,유비쿼스홀딩스,13.81,0.98,2.61
048530,인트론바이오,19.85,2.70,
078160,메디포스트,,1.86,
030530,원익홀딩스,3.11,0.23,
051370,인터플렉스,6.86,1.11,
083790,크리스탈지노믹스,,1.09,
042000,카페24,,1.12,
108230,톱텍,,0.68,
194700,노바렉스,7.43,1.24,1.35
237880,클리오,22.73,1.20,1.20
265520,AP시스템,3.44,1.06,1.49
082920,비츠로셀,14.21,1.39,1.32
036030,케이티알파,83.36,1.07,
023760,한국캐피탈,3.13,0.51,4.93
122990,와이솔,7.12,0.48,3.88
052020,에스티큐브,,20.08,
138080,오이솔루션,39.79,1.07,1.95
089600,나스미디어,11.96,1.69,2.34
044340,위닉스,10.78,0.68,5.63
094480,갤럭시아머니트리,51.28,1.56,1.02
067280,멀티캠퍼스,7.72,1.31,1.84
045390,대아티아이,40.41,1.65,
192440,슈피겐코리아,5.41,0.47,2.75
131370,알서포트,12.89,2.28,1.07
183490,엔지켐생명과학,,0.79,
053300,한국정보인증,22.10,1.04,2.78
043610,지니뮤직,96.94,1.35,
239610,에이치엘사이언스,13.34,0.92,2.13
052260,현대바이오랜드,,1.22,0.65
054050,농우바이오,18.36,0.51,2.52
092730,네오팜,7.56,0.93,4.38
041440,현대에버다임,,0.70,
216050,인크로스,8.73,1.60,3.64
200230,텔콘RF제약,,1.06,
021320,KCC건설,6.70,0.25,3.22
263050,유틸렉스,,3.21,
036560,영풍정밀,12.03,0.53,3.35
046140,SBS콘텐츠허브,7.40,0.59,1.45
039860,나노엔텍,20.61,2.20,
056700,신화인터텍,36.57,0.86,
007820,에스엠코어,92.63,1.51,0.95
016250,SGC이테크건설,1.19,0.38,3.20
016600,큐캐피탈,,0.56,
021880,메이슨캐피탈,,0.97,
036670,KCI,5.98,1.00,2.42
293580,나우IB,5.74,0.73,2.15
010470,오리콤,6.62,0.62,4.04
190650,코리아에셋투자증권,3.82,0.52,9.42
019570,리더스 기술투자,,1.16,
